1.262,0.882,-1.0
1.49,0.811,-1.0
1.162,-1.621,-1.0
0.035,0.154,-1.0
1.079,-0.678,-1.0
-0.237,-1.289,-1.0
1.625,-1.472,-1.0
-0.676,2.263,-1.0
0.989,-1.699,-1.0
0.839,-0.067,-1.0
0.053,0.694,-1.0
0.426,0.346,-1.0
-0.542,-1.896,-1.0
-2.094,0.101,-1.0
-0.995,0.95,-1.0
-0.725,0.553,-1.0
-0.203,1.014,-1.0
-0.998,0.258,-1.0
-0.205,-0.95,-1.0
1.385,0.617,-1.0
-0.671,1.247,-1.0
0.52,-1.043,-1.0
-0.836,0.249,-1.0
0.746,-0.157,-1.0
-0.212,-0.373,-1.0
0.292,-0.082,-1.0
0.358,-0.573,-1.0
0.978,-0.537,-1.0
-0.06,0.959,-1.0
0.041,-0.705,-1.0
1.442,0.517,-1.0
0.112,0.809,-1.0
0.291,-0.781,-1.0
1.894,1.067,-1.0
-0.011,-0.358,-1.0
-1.16,0.09,-1.0
-1.477,-0.099,-1.0
0.367,-0.032,-1.0
-2.104,0.64,-1.0
-2.772,1.946,-1.0
0.787,-0.942,-1.0
-0.43,-0.473,-1.0
-0.522,-1.998,-1.0
0.8,1.15,-1.0
0.296,0.522,-1.0
-0.25,-0.495,-1.0
0.712,-0.69,-1.0
0.463,-0.662,-1.0
-1.675,0.402,-1.0
0.381,0.718,-1.0
0.691,0.723,-1.0
0.709,0.791,-1.0
-0.048,-0.672,-1.0
0.07,0.687,-1.0
0.553,0.941,-1.0
0.584,-1.006,-1.0
-1.16,0.519,-1.0
0.323,0.599,-1.0
1.243,1.317,-1.0
0.542,0.404,-1.0
-1.338,0.658,-1.0
0.553,0.345,-1.0
0.344,1.409,-1.0
0.165,-0.58,-1.0
-0.109,-1.62,-1.0
-0.64,1.129,-1.0
-0.959,1.044,-1.0
0.244,-1.827,-1.0
0.165,0.53,-1.0
1.305,0.121,-1.0
-0.887,1.068,-1.0
-0.246,-0.58,-1.0
-0.681,0.863,-1.0
-1.102,0.496,-1.0
-0.169,-0.005,-1.0
0.168,0.082,-1.0
-0.02,-0.241,-1.0
0.899,-0.256,-1.0
-0.744,0.555,-1.0
-0.288,1.17,-1.0
2.57,-1.109,-1.0
-0.681,-0.492,-1.0
-0.139,0.276,-1.0
-1.248,1.4,-1.0
0.605,2.443,-1.0
